personne_id,auteur_persee_id,idref,auteurlabel,occupationLabel,year_of_birth,year_of_death,sex_or_genderLabel,country_of_citizenshipLabel,educated_atLabel,academic_degreeLabel
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,prêtre catholique,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,théologien,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,épistémologue,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
http://www.wikidata.org/entity/Q18547827,76252,101270216,Pierre Sergescu,historien des sciences,1893,1954,masculin,Roumanie,faculté des sciences de Paris,no value
http://www.wikidata.org/entity/Q18547827,76252,101270216,Pierre Sergescu,historien des sciences,1893,1954,masculin,Roumanie,université de Bucarest,no value
http://www.wikidata.org/entity/Q18547827,76252,101270216,Pierre Sergescu,historien des sciences,1893,1954,masculin,apatride,faculté des sciences de Paris,no value
http://www.wikidata.org/entity/Q18547827,76252,101270216,Pierre Sergescu,historien des sciences,1893,1954,masculin,apatride,université de Bucarest,no value
http://www.wikidata.org/entity/Q18547827,76252,101270216,Pierre Sergescu,mathématicien,1893,1954,masculin,Roumanie,faculté des sciences de Paris,no value
http://www.wikidata.org/entity/Q18547827,76252,101270216,Pierre Sergescu,mathématicien,1893,1954,masculin,Roumanie,université de Bucarest,no value
http://www.wikidata.org/entity/Q18547827,76252,101270216,Pierre Sergescu,mathématicien,1893,1954,masculin,apatride,faculté des sciences de Paris,no value
http://www.wikidata.org/entity/Q18547827,76252,101270216,Pierre Sergescu,mathématicien,1893,1954,masculin,apatride,université de Bucarest,no value
http://www.wikidata.org/entity/Q18593033,57380,137841353,Eric G. Forbes,astronome,1933,1984,masculin,États-Unis,université de St Andrews,no value
http://www.wikidata.org/entity/Q18716347,77411,050252194,A. Davy de Virville,botaniste,1896,1967,masculin,France,no value,no value
http://www.wikidata.org/entity/Q18716347,77411,050252194,A. Davy de Virville,maître de conférences,1896,1967,masculin,France,no value,no value
http://www.wikidata.org/entity/Q18716347,77411,050252194,A. Davy de Virville,phycologue,1896,1967,masculin,France,no value,no value
http://www.wikidata.org/entity/Q19787950,256411,026753790,Numa Broc,géographe,1934,2017,masculin,France,université de Clermont (1896-1976),no value
http://www.wikidata.org/entity/Q19931408,77509,032537522,T. Kahan,physicien,1904,1984,masculin,France,no value,no value
http://www.wikidata.org/entity/Q19931408,77509,032537522,T. Kahan,écrivain,1904,1984,masculin,France,no value,no value
http://www.wikidata.org/entity/Q19945158,202917,no value,Michel Blay,philosophe,1948,????,masculin,France,no value,no value
http://www.wikidata.org/entity/Q2020813,11265,029861330,Olivier Darrigol,historien des sciences,1955,????,masculin,France,université Panthéon-Sorbonne,no value
http://www.wikidata.org/entity/Q2020813,11265,029861330,Olivier Darrigol,historien des sciences,1955,????,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q20752167,57328,030853931,Georgette Legee,historien des sciences,1914,1993,féminin,France,no value,no value
http://www.wikidata.org/entity/Q20859115,76567,067063888,E.M. Bruins,historien des mathématiques,1909,1990,masculin,Pays-Bas,no value,no value
http://www.wikidata.org/entity/Q20859115,76567,067063888,E.M. Bruins,physicien,1909,1990,masculin,Pays-Bas,no value,no value
http://www.wikidata.org/entity/Q20859115,76567,067063888,E.M. Bruins,professeur d'université,1909,1990,masculin,Pays-Bas,no value,no value
http://www.wikidata.org/entity/Q2093396,206279,026841991,Pierre Dugac,historien,1926,2000,masculin,France,no value,no value
http://www.wikidata.org/entity/Q2093396,206279,026841991,Pierre Dugac,historien des mathématiques,1926,2000,masculin,France,no value,no value
http://www.wikidata.org/entity/Q2093396,206279,026841991,Pierre Dugac,mathématicien,1926,2000,masculin,France,no value,no value
http://www.wikidata.org/entity/Q21263372,212568,027083845,Joëlle Proust,philosophe,1947,????,féminin,France,université de Provence Aix-Marseille I,no value
http://www.wikidata.org/entity/Q21392660,77445,086701061,Denis Duveen,botaniste,1910,1992,masculin,Royaume-Uni,Collège de France,no value
http://www.wikidata.org/entity/Q21392660,77445,086701061,Denis Duveen,botaniste,1910,1992,masculin,Royaume-Uni,Merton College,no value
http://www.wikidata.org/entity/Q21392660,77445,086701061,Denis Duveen,botaniste,1910,1992,masculin,Royaume-Uni,Rugby School,no value
http://www.wikidata.org/entity/Q21392660,77445,086701061,Denis Duveen,chimiste,1910,1992,masculin,Royaume-Uni,Collège de France,no value
http://www.wikidata.org/entity/Q21392660,77445,086701061,Denis Duveen,chimiste,1910,1992,masculin,Royaume-Uni,Merton College,no value
http://www.wikidata.org/entity/Q21392660,77445,086701061,Denis Duveen,chimiste,1910,1992,masculin,Royaume-Uni,Rugby School,no value
http://www.wikidata.org/entity/Q21392660,77445,086701061,Denis Duveen,personnalité du monde des affaires,1910,1992,masculin,Royaume-Uni,Collège de France,no value
http://www.wikidata.org/entity/Q21392660,77445,086701061,Denis Duveen,personnalité du monde des affaires,1910,1992,masculin,Royaume-Uni,Merton College,no value
http://www.wikidata.org/entity/Q21392660,77445,086701061,Denis Duveen,personnalité du monde des affaires,1910,1992,masculin,Royaume-Uni,Rugby School,no value
http://www.wikidata.org/entity/Q21395298,57368,033529124,Jean Gaudant,paléontologue,no value,????,masculin,no value,no value,no value
http://www.wikidata.org/entity/Q21483267,52130,088789438,Michel Pinault,historien,1951,????,masculin,France,université Panthéon-Sorbonne,no value
http://www.wikidata.org/entity/Q21483267,52130,088789438,Michel Pinault,historien,1951,????,masculin,France,université Paris-Nanterre,no value
http://www.wikidata.org/entity/Q21791478,54451,026816016,Claude Debru,philosophe,1944,????,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q21996122,386272,026698978,François Azouvi,philosophe,1945,????,masculin,France,no value,no value
http://www.wikidata.org/entity/Q22694746,55230,no value,Seymour H. Mauskopf,chimiste,1938,????,masculin,États-Unis,no value,no value
http://www.wikidata.org/entity/Q2281554,255990,026761890,Claude Cahen,historien,1909,1991,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q2281554,255990,026761890,Claude Cahen,médiéviste,1909,1991,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q2281554,255990,026761890,Claude Cahen,traducteur,1909,1991,masculin,France,École normale supérieure,no value
