personne_id,auteur_persee_id,idref,auteurlabel,year_of_birth,year_of_death,sex_or_genderLabel
http://www.wikidata.org/entity/Q55773178,77505,027043789,André Nadal,1902,1991,masculin
http://www.wikidata.org/entity/Q55937800,82819,070472521,Maria Jesus Santesmases,no value,????,féminin
http://www.wikidata.org/entity/Q55938898,11217,033780560,Paolo Ponzio,no value,????,masculin
http://www.wikidata.org/entity/Q55941160,11260,034090797,Walter Bernardi,1948,????,masculin
http://www.wikidata.org/entity/Q55946644,275435,103579052,Pierre Louis,1947,????,masculin
http://www.wikidata.org/entity/Q55948481,230454,031775411,Ariane Isler De Jongh,no value,????,féminin
http://www.wikidata.org/entity/Q55948793,79949,031530842,L.-J.-M. Sahuc,1916,????,no value
http://www.wikidata.org/entity/Q55949715,26044,027082679,René Prévost,1920,????,masculin
http://www.wikidata.org/entity/Q55989853,57442,no value,Paolo Brenni,1926,????,masculin
http://www.wikidata.org/entity/Q55996233,267924,031455220,Pierre Cuvelier,no value,????,masculin
http://www.wikidata.org/entity/Q55999936,57359,13448097X,Rio Howard,no value,????,masculin
http://www.wikidata.org/entity/Q56000004,54966,075152630,Fernando Salmon,no value,????,masculin
http://www.wikidata.org/entity/Q56000233,82806,029835321,Maria Teresa Monti,1955,????,féminin
http://www.wikidata.org/entity/Q56000663,57396,035538694,Sylvain Zac,1909,????,masculin
http://www.wikidata.org/entity/Q56285101,10564,027132668,Michel Serfati,1938,2018,masculin
http://www.wikidata.org/entity/Q56641765,150992,031854915,Patricia Radelet-de-Grave,1948,????,féminin
http://www.wikidata.org/entity/Q5698771,159552,029613639,Antonio Lafuente,1953,????,masculin
http://www.wikidata.org/entity/Q58420002,82823,075197936,Keiko Kawashima,1959,????,féminin
http://www.wikidata.org/entity/Q5890391,57372,08582819X,Gérard G. Aymonin,1934,2014,masculin
http://www.wikidata.org/entity/Q5913483,11210,027139824,Hourya Benis-Sinaceur,1940,????,féminin
http://www.wikidata.org/entity/Q59209776,10532,026750457,Jean François Braunstein,1953,????,masculin
http://www.wikidata.org/entity/Q592781,49778,026900998,Pierre Paul Grassé,1895,1985,masculin
http://www.wikidata.org/entity/Q59679045,76607,no value,François Rostand,1921,2003,masculin
http://www.wikidata.org/entity/Q60617954,54641,080282881,Paul Rusnock,no value,????,masculin
http://www.wikidata.org/entity/Q60737012,386286,034444289,Patrice Bret,1949,????,masculin
http://www.wikidata.org/entity/Q6182805,272234,no value,Jerôme Lamy,no value,????,masculin
http://www.wikidata.org/entity/Q62392228,229476,056777019,Barbara Obrist,1950,????,féminin
http://www.wikidata.org/entity/Q62460216,387974,027200108,Denise Wrotnowska,1905,2000,féminin
http://www.wikidata.org/entity/Q6369369,77054,111203759,Karel Rychlík,1885,1968,masculin
http://www.wikidata.org/entity/Q65976052,10565,no value,Marco Panza,1958,????,masculin
http://www.wikidata.org/entity/Q663862,62038,026978547,Georges Lefebvre,1874,1959,masculin
http://www.wikidata.org/entity/Q6686835,79775,028777042,Louis C. Hunter,1898,1984,masculin
http://www.wikidata.org/entity/Q67330123,158274,075032678,Jean-Jacques Hémardinquer,no value,????,masculin
http://www.wikidata.org/entity/Q678163,166841,026898268,Henri Gouhier,1898,1994,masculin
http://www.wikidata.org/entity/Q6793035,8202,026845776,Maurice Durand,1914,1966,masculin
http://www.wikidata.org/entity/Q68091146,249881,034326723,Frédéric Obringer,no value,????,masculin
http://www.wikidata.org/entity/Q68424834,57311,no value,Michelle Sadoun Goupil,no value,????,féminin
http://www.wikidata.org/entity/Q68918750,77569,027189562,W. Voisé,1920,1995,masculin
http://www.wikidata.org/entity/Q68919621,387982,033030634,Albert Lejeune,1916,1988,masculin
http://www.wikidata.org/entity/Q71023,247899,026946122,A. Kastler,1902,1984,masculin
http://www.wikidata.org/entity/Q7151967,57299,no value,Paul Lawrence Rose,1944,2014,masculin
http://www.wikidata.org/entity/Q7184905,10465,no value,Philippe Veron,1939,2014,masculin
http://www.wikidata.org/entity/Q726217,76703,03280136X,E. J. Dijksterhuis,1892,1965,masculin
